City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
447,Highland,US,76.51,clear sky,34.1283,-117.2086,Yaamava' Resort & Casino
451,Xuddur,SO,81.32,broken clouds,4.1213,43.8894,Banjanay Hotel
453,Payakumbuh,ID,86.23,overcast clouds,-0.2202,100.6308,Dalimo Homestay
454,Cilegon,ID,84.74,overcast clouds,-6.0174,106.0538,Forbis Hotel
457,Sao Filipe,CV,77.95,overcast clouds,14.8961,-24.4956,Hotel Xaguate
458,Abnub,EG,77.63,few clouds,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
463,Longyan,CN,82.36,overcast clouds,25.1072,117.0225,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
464,Matara,LK,83.39,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
473,Witu,KE,78.96,light rain,-2.3889,40.4382,
474,Cururupu,BR,77.0,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
475,Kuruman,ZA,77.0,clear sky,-27.4524,23.4325,A HOTEL KURUMAN
476,Trincomalee,LK,85.26,overcast clouds,8.5711,81.2335,Welcombe Hotel
478,Vaitape,PF,78.31,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
482,Maine-Soroa,NE,82.96,clear sky,13.2114,12.0241,Complexe
483,Adrar,MR,80.82,scattered clouds,20.5022,-10.0711,
485,Lahaina,US,77.81,light rain,20.8783,-156.6825,Lahaina Shores Beach Resort
490,Poum,NC,76.24,broken clouds,-20.2333,164.0167,
491,Tanout,NE,76.8,broken clouds,14.9709,8.8879,
492,Bambanglipuro,ID,81.66,moderate rain,-7.95,110.2833,Puri Brata
494,Dori,BF,83.25,few clouds,14.0354,-0.0345,Hôtel Liptako
497,Adre,TD,82.78,overcast clouds,13.4667,22.2,
499,Macapa,BR,77.76,few clouds,0.0389,-51.0664,Atalanta Hotel
500,Noumea,NC,78.78,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
502,Zemio,CF,76.78,overcast clouds,5.0314,25.1361,OCHA Office
512,Netivot,IL,75.6,clear sky,31.4222,34.5886,"'בית החסד - מוסדות מאורות נתן' - מיסודו של הרב נתן בוקובזה זצוק""ל"
513,Sur,OM,89.87,clear sky,22.5667,59.5289,Sur Plaza Hotel
515,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
517,Umm Lajj,SA,86.23,overcast clouds,25.0213,37.2685,Moon light Furnished Units
518,Tura,IN,84.43,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
524,Santa Rosa,PH,82.38,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
528,Atar,MR,82.72,overcast clouds,20.5169,-13.0499,Oumou Elghoura
529,Puri,IN,88.32,few clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
530,Port Blair,IN,82.67,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
531,Lanat,PH,77.72,overcast clouds,15.8,120.6,Grace Anne's Mansion House
536,Rio Branco,BR,77.61,clear sky,-9.9747,-67.81,Hotel Guapindaia Bosque
537,Labuan,MY,83.39,moderate rain,5.2767,115.2417,Tiara Labuan Hotel
539,Dosso,NE,80.1,clear sky,13.049,3.1937,Hotel Toubal
541,Macau,MO,87.85,few clouds,22.2006,113.5461,Grand Emperor Hotel
557,Dapaong,TG,76.14,overcast clouds,10.8639,0.205,Hotel Caroli
558,Brokopondo,SR,75.74,overcast clouds,4.75,-55.1667,Matu Island
561,Phalaborwa,ZA,80.08,clear sky,-23.943,31.1411,Bothabelo Bed and Breakfast
565,Mugumu,TZ,75.83,overcast clouds,-1.85,34.7,Lemala Mara
567,Mongo,TD,86.76,few clouds,12.1844,18.693,Résidences du Programme FIDA
568,Taoudenni,ML,79.95,clear sky,22.6783,-3.9836,
570,Muscat,OM,89.92,clear sky,23.6139,58.5922,Mutrah Hotel
571,Iranshahr,IR,88.14,few clouds,27.2025,60.6848,نیک سرشت
572,Yingcheng,CN,76.19,overcast clouds,30.95,113.55,Yingcheng Hotel
579,Turan,VN,85.98,few clouds,16.0678,108.2208,Grand Mercure Danang
583,Tirat Karmel,IL,79.68,scattered clouds,32.7617,34.9719,Marom Hotel Haifa מלון מרום
584,Palu,ID,87.13,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
589,Labuhan,ID,85.86,light rain,-6.8844,112.2051,DoubleFAG
590,Mocuba,MZ,88.14,clear sky,-16.8392,36.9856,Phama Lodge
598,Champerico,GT,78.24,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
599,Dawei,MM,88.95,overcast clouds,14.0833,98.2,Hotel Dawei
601,Kinarut,MY,80.62,scattered clouds,5.8231,116.0466,Langkah Syabas Beach Resort
602,Jharsuguda,IN,86.11,haze,21.85,84.0333,Hotel Meghdoot - Best Hotel In Jharsuguda
611,Kismayo,SO,81.82,scattered clouds,-0.3582,42.5454,Agan-Hotel
612,Alofi,NU,78.35,overcast clouds,-19.0595,-169.9187,Taloa Heights
619,Tutoia,BR,78.73,scattered clouds,-2.7619,-42.2744,Pousada Guará's
620,Dhidhdhoo,MV,81.23,overcast clouds,6.8833,73.1,Dhidhoo beach
623,Sarangani,PH,84.33,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
624,Angoche,MZ,82.85,clear sky,-16.2325,39.9086,Guest House HESADA
625,Tual,ID,84.47,broken clouds,-5.6667,132.75,Grand Vilia Hotel
633,Waingapu,ID,87.1,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
636,Sao Miguel Do Araguaia,BR,76.28,clear sky,-13.275,-50.1628,Hotel Executivo Palace
640,Payo,ID,81.57,overcast clouds,-3.7508,103.6372,Mess keban agung
644,Manokwari,ID,82.56,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
646,Biltine,TD,87.71,few clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
658,Lethem,GY,75.18,overcast clouds,3.3803,-59.7968,Savannah Inn
660,Santa Ana,US,79.93,clear sky,33.7456,-117.8678,"Motel 6 Santa Ana, CA"
661,Riyadh,SA,89.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
668,Kawalu,ID,78.6,light rain,-7.3817,108.2082,West Jontor
670,Dwarka,IN,85.03,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
